Time,V_in,V_out
3.060000000000002,-1.0,0.03331264455201675
3.070000000000002,-1.0,0.030732589353325998
3.080000000000002,-1.0,0.028158976236702753
3.0900000000000016,-1.0,0.025591789117017885
3.100000000000002,-1.0,0.023031011949336933
3.110000000000002,-1.0,0.02047662872885502
3.120000000000002,-1.0,0.017928623490563848
3.1300000000000017,-1.0,0.015386980307660676
3.140000000000002,-1.0,0.012851683288574244
3.150000000000002,-1.0,0.010322716586689443
3.160000000000002,-1.0,0.0078000643955982996
3.1700000000000017,-1.0,0.005283710948587761
3.180000000000002,-1.0,0.0027736405185364993
3.190000000000002,-1.0,0.00026983741781159976
3.200000000000002,-1.0,-0.0022277140018352043
3.2100000000000017,-1.0,-0.004719029349371205
3.220000000000002,-1.0,-0.007204124194586034
3.230000000000002,-1.0,-0.009683014068194926
3.240000000000002,-1.0,-0.012155714461942493
3.2500000000000018,-1.0,-0.014622240828706376
3.260000000000002,-1.0,-0.017082608582600592
3.2700000000000022,-1.0,-0.0195368330990788
3.280000000000002,-1.0,-0.021984929715038026
3.290000000000002,-1.0,-0.024426913728922375
3.300000000000002,-1.0,-0.026862800400826337
3.3100000000000023,-1.0,-0.029292604952598073
3.320000000000002,-1.0,-0.031716342567943125
3.330000000000002,-1.0,-0.03413402839252816
3.340000000000002,-1.0,-0.03654567753408422
3.3500000000000023,-1.0,-0.03895130506253412
3.360000000000002,-1.0,-0.041350926018839454
3.370000000000002,-1.0,-0.0437445554064213
3.380000000000002,-1.0,-0.046132208185016024
3.3900000000000023,-1.0,-0.04851389927712823
3.400000000000002,-1.0,-0.05088964356813968
3.410000000000002,-1.0,-0.05325945590641818
3.420000000000002,-1.0,-0.055623351103426075
3.4300000000000024,-1.0,-0.05798134393382869
3.440000000000002,-1.0,-0.060333449135603276
3.450000000000002,-1.0,-0.06267968141014787
3.460000000000002,-1.0,-0.06502005542238981
3.4700000000000024,-1.0,-0.06735458580089415
3.480000000000002,-1.0,-0.06968328713797262
3.490000000000002,-1.0,-0.0720061739897925
3.500000000000002,-1.0,-0.0743232608764851
3.5100000000000025,-1.0,-0.07663456228225422
3.5200000000000022,-1.0,-0.07894009265548511
3.530000000000002,-1.0,-0.08123986640885325
3.5400000000000023,-1.0,-0.08353389791943296
3.5500000000000025,-1.0,-0.08582220152880576
3.5600000000000023,-1.0,-0.0881047915431694
3.570000000000002,-1.0,-0.09038168223344661
3.5800000000000023,-1.0,-0.09265288783189957
3.5900000000000025,-1.0,-0.09491842250890944
3.6000000000000023,-1.0,-0.09717830041798728
3.610000000000002,-1.0,-0.09943253568318558
3.6200000000000023,-1.0,-0.10168114239336055
3.6300000000000026,-1.0,-0.10392413460226785
3.6400000000000023,-1.0,-0.10616152632865869
3.650000000000002,-1.0,-0.10839333155637591
3.6600000000000024,-1.0,-0.1106195642344498
3.6700000000000026,-1.0,-0.11284023827719368
3.6800000000000024,-1.0,-0.11505536756430013
3.690000000000002,-1.0,-0.11726496594093701
3.7000000000000024,-1.0,-0.11946904721784324
3.7100000000000026,-1.0,-0.12166762517142449
3.7200000000000024,-1.0,-0.1238607135438493
3.730000000000002,-1.0,-0.1260483260431452
3.7400000000000024,-1.0,-0.12823047634329438
3.7500000000000027,-1.0,-0.1304071780843295
3.7600000000000025,-1.0,-0.13257844487242973
3.7700000000000022,-1.0,-0.1347442902800168
3.7800000000000025,-1.0,-0.13690472784585092
3.7900000000000027,-1.0,-0.1390597710751263
3.8000000000000025,-1.0,-0.14120943343956732
3.8100000000000023,-1.0,-0.14335372837479513
3.8200000000000025,-1.0,-0.1454926692772957
3.8300000000000027,-1.0,-0.14762626951228466
3.8400000000000025,-1.0,-0.14975454241039768
3.8500000000000023,-1.0,-0.151877501267495
3.8600000000000025,-1.0,-0.1539951593447598
3.8700000000000028,-1.0,-0.15610752988000054
3.8800000000000026,-1.0,-0.15821462608012396
3.8900000000000023,-1.0,-0.16031646111571848
3.9000000000000026,-1.0,-0.162413048125717
3.910000000000003,-1.0,-0.16450440021765728
3.9200000000000026,-1.0,-0.16659053046649902
3.9300000000000024,-1.0,-0.16867145190573588
3.9400000000000026,-1.0,-0.1707471775398068
3.950000000000003,-1.0,-0.17281772034166856
3.9600000000000026,-1.0,-0.1748830932515492
3.9700000000000024,-1.0,-0.17694330917696852
3.9800000000000026,-1.0,-0.17899838099266055
3.990000000000003,-1.0,-0.18104832154508468
4.000000000000003,1.0,-0.1830931221139133
4.0100000000000025,1.0,-0.18013908339566007
4.020000000000003,1.0,-0.17719242055059523
4.030000000000003,1.0,-0.1742531151615941
4.040000000000003,1.0,-0.17132114885860683
4.0500000000000025,1.0,-0.16839650331663295
4.060000000000002,1.0,-0.1654791602566082
4.070000000000003,1.0,-0.16256910144512393
4.080000000000003,1.0,-0.15966630869359033
4.0900000000000025,1.0,-0.15677076385825653
4.100000000000003,1.0,-0.15388244884181695
4.110000000000003,1.0,-0.15100134559231596
4.120000000000003,1.0,-0.14812743610301538
4.130000000000003,1.0,-0.1452607024122778
4.140000000000002,1.0,-0.1424011266034485
4.150000000000003,1.0,-0.13954869080473753
4.160000000000003,1.0,-0.13670337718910275
4.170000000000003,1.0,-0.13386516797413073
4.180000000000003,1.0,-0.13103404542191965
4.190000000000003,1.0,-0.12820999183896234
4.200000000000003,1.0,-0.12539298957602685
4.210000000000003,1.0,-0.12258302102673811
4.220000000000002,1.0,-0.1197800686267862
4.230000000000003,1.0,-0.11698411485775911
4.240000000000003,1.0,-0.11419514224497873
4.250000000000003,1.0,-0.11141313335730292
4.260000000000003,1.0,-0.10863807080700189
4.270000000000003,1.0,-0.1058699372496344
4.280000000000003,1.0,-0.10310871538392183
4.290000000000003,1.0,-0.10035438795162466
4.3000000000000025,1.0,-0.09760693773741776
4.310000000000003,1.0,-0.09486634756876564
4.320000000000003,1.0,-0.09213260031579898
4.330000000000003,1.0,-0.08940567889118865
4.340000000000003,1.0,-0.0866855662519515
4.350000000000003,1.0,-0.0839722454016445
4.360000000000003,1.0,-0.08126569938230385
4.370000000000003,1.0,-0.07856591127801696
4.380000000000003,1.0,-0.07587286421506456
4.390000000000003,1.0,-0.07318654136180833
4.400000000000003,1.0,-0.07050692592857961
4.410000000000003,1.0,-0.06783400116756588
4.4200000000000035,1.0,-0.06516775037269922
4.430000000000003,1.0,-0.06250815687954481
4.440000000000003,1.0,-0.059855204065187455
4.450000000000003,1.0,-0.05720887534812021
4.460000000000003,1.0,-0.05456915418813206
4.470000000000003,1.0,-0.05193602408691798
4.480000000000003,1.0,-0.04930946858948941
4.490000000000003,1.0,-0.04668947128009758
4.5000000000000036,1.0,-0.04407601578376727
4.510000000000003,1.0,-0.041469085766388844
4.520000000000003,1.0,-0.038868664934610414
4.530000000000003,1.0,-0.03627473703573256
4.540000000000003,1.0,-0.0336872858576016
4.550000000000003,1.0,-0.03110629522850311
4.560000000000003,1.0,-0.028531749017056462
4.570000000000003,1.0,-0.025963631132107087
4.580000000000004,1.0,-0.023401925522620843
4.590000000000003,1.0,-0.020846616177578332
4.600000000000003,1.0,-0.018297687126192487
4.610000000000003,1.0,-0.0157551224388931
4.620000000000003,1.0,-0.013218906224847582
4.6300000000000034,1.0,-0.010689022632712533
4.640000000000003,1.0,-0.008165455850703574
4.650000000000003,1.0,-0.005648190106491041
4.660000000000004,1.0,-0.0031372096670977765
4.6700000000000035,1.0,-0.0006324988387968553
4.680000000000003,1.0,0.001865958032992679
4.690000000000003,1.0,0.004358176563807846
4.700000000000003,1.0,0.006844172330244853
4.7100000000000035,1.0,0.009323960870062258
4.720000000000003,1.0,0.011797557682283005
4.730000000000003,1.0,0.014264978225659527
4.740000000000004,1.0,0.016726237923752146
4.7500000000000036,1.0,0.01918135215702812
4.760000000000003,1.0,0.021630336270000255
4.770000000000003,1.0,0.02407320556887296
4.780000000000003,1.0,0.026509975321644622
4.790000000000004,1.0,0.02894066075820974
4.800000000000003,1.0,0.031365277070459704
4.810000000000003,1.0,0.0337838394123855
4.820000000000004,1.0,0.03619636290017818
4.830000000000004,1.0,0.038602862612329134
4.840000000000003,1.0,0.04100335358973203
4.850000000000003,1.0,0.04339785083578229
4.860000000000003,1.0,0.045786369316383746
4.870000000000004,1.0,0.04816892395925382
4.8800000000000034,1.0,0.050545529655203154
4.890000000000003,1.0,0.05291620125800597
4.900000000000004,1.0,0.055280953584319656
4.910000000000004,1.0,0.05763980141377125
4.9200000000000035,1.0,0.059992759489045
4.930000000000003,1.0,0.0623398425159671
4.940000000000003,1.0,0.06468106516359068
4.950000000000004,1.0,0.06701644206428006
4.9600000000000035,1.0,0.0693459878138321
4.970000000000003,1.0,0.07166971697227136
4.980000000000004,1.0,0.07398764406360402
4.990000000000004,1.0,0.07629978357494344
5.0000000000000036,-1.0,0.07860612429194473
5.010000000000003,-1.0,0.07591297771073566
5.020000000000003,-1.0,0.07322655469480875
5.030000000000004,-1.0,0.07054683934780981
5.040000000000004,-1.0,0.06787381492172252
5.050000000000003,-1.0,0.06520746471088763
5.060000000000004,-1.0,0.06254777205017621
5.070000000000004,-1.0,0.05989472031648928
5.080000000000004,-1.0,0.057248292928267705
5.090000000000003,-1.0,0.05460847334529875
5.100000000000003,-1.0,0.05197524506681814
5.110000000000004,-1.0,0.04934859163345952
5.120000000000004,-1.0,0.046728496628427554
5.1300000000000034,-1.0,0.0441149436760879
5.140000000000004,-1.0,0.04150791644186083
5.150000000000004,-1.0,0.03890739863211489
5.160000000000004,-1.0,0.03631337399405851
5.1700000000000035,-1.0,0.033725826315633825
5.180000000000003,-1.0,0.031144739425409414
5.190000000000004,-1.0,0.02857009719247304
5.200000000000004,-1.0,0.026001883526325514
5.2100000000000035,-1.0,0.02344008237677225
5.220000000000004,-1.0,0.02088467773381695
5.230000000000004,-1.0,0.018335653627555203
5.240000000000004,-1.0,0.015792994128066087
5.2500000000000036,-1.0,0.013256683345306037
5.260000000000003,-1.0,0.010726705427379652
5.270000000000004,-1.0,0.008203044558127284
5.280000000000004,-1.0,0.005685684964584551
5.290000000000004,-1.0,0.0031746109133786067
5.300000000000004,-1.0,0.0006698067103192325
5.310000000000004,-1.0,-0.0018287432997133972
5.320000000000004,-1.0,-0.004321054732882929
5.330000000000004,-1.0,-0.006807143166508836
5.340000000000003,-1.0,-0.009287024139179492
5.350000000000004,-1.0,-0.011760713150865333
5.360000000000004,-1.0,-0.014228225663030822
5.370000000000004,-1.0,-0.016689577098748666
5.380000000000004,-1.0,-0.019144782842812035
5.390000000000004,-1.0,-0.021593858241846824
5.400000000000004,-1.0,-0.02403681860442581
5.410000000000004,-1.0,-0.026473679201180683
5.4200000000000035,-1.0,-0.02890445526429139
5.430000000000004,-1.0,-0.031329161978450815
5.440000000000004,-1.0,-0.03374781449498027
5.450000000000004,-1.0,-0.036160427930400876
5.460000000000004,-1.0,-0.038567017363537584
5.470000000000004,-1.0,-0.0409675978356195
5.480000000000004,-1.0,-0.04336218435038221
5.490000000000004,-1.0,-0.045750791874167814
5.5000000000000036,-1.0,-0.048133435336026265
